Date,TGT.MX,FSHOP13.MX,ROST.MX,FNOVA17.MX,ARA.MX,FHIPO14.MX,FCX.MX,FIBRAMQ12.MX,MRK.MX,FCFE18.MX,HOTEL.MX,BBVA.MX,VLO.MX,4689N.MX,BWA.MX,MUFGN.MX,KO.MX,VIRT.MX,PH.MX,KOFUBL.MX,STLD.MX,BBAJIOO.MX,TX.MX,GPROFUT.MX,GMEXICOB.MX
2025-09-30,1646.3179931640625,8.015497207641602,2758.678466796875,25.76534652709961,3.1229467391967773,11.606639862060549,697.052490234375,29.249897003173828,1537.8104248046875,20.95718574523925,3.482283592224121,346.9134216308594,3086.2294921875,,699.5061645507812,289.7106628417969,1213.21044921875,645.3209838867188,13842.990234375,145.26861572265625,2515.6357421875,42.32428741455078,637.07470703125,110.0475845336914,154.21824645996094
2025-10-31,1714.9942626953125,8.024816513061523,2878.620849609375,25.76534652709961,3.413003444671631,12.150700569152832,772.68603515625,27.884471893310547,1603.3629150390625,20.591815948486328,3.731018304824829,374.119384765625,2967.77392578125,,699.5061645507812,289.6607360839844,1279.0926513671875,642.6842041015625,13704.5595703125,154.4102783203125,2816.752685546875,43.46100616455078,677.343017578125,111.4499969482422,155.13760375976562
2025-11-28,1655.42333984375,8.221774101257324,2996.564208984375,26.33331871032715,3.335655212402344,12.86201000213623,788.6796264648438,29.49140167236328,1913.8643798828125,20.376338958740234,3.731018304824829,392.4075317382813,3227.32373046875,,793.239990234375,289.6607360839844,1337.0068359375,620.9312133789062,13706.359375,153.67474365234375,3060.64453125,43.763519287109375,653.9118041992188,111.4499969482422,156.2295684814453
2025-12-31,1765.25244140625,8.735041618347168,3283.87060546875,26.33331871032715,3.635380506515503,12.917769432067873,916.2677612304688,31.41414260864257,1912.7803955078125,22.024866104125977,3.9598541259765625,420.3653259277344,2908.0634765625,,793.4098510742188,289.6607360839844,1258.6131591796875,606.24365234375,13706.359375,167.38442993164062,3185.08935546875,42.55770492553711,683.8619384765625,111.4499969482422,166.29315185546875
2026-01-30,1818.169921875,8.744545936584473,3398.8310546875,26.33331871032715,3.819083452224731,13.168689727783203,1049.7196044921875,34.19255828857422,1920.771240234375,22.205944061279297,3.8603603839874254,439.9457702636719,3117.27001953125,,793.4098510742188,310.689697265625,1304.4127197265625,606.24365234375,13706.359375,179.3837890625,3009.749755859375,47.76065444946289,739.988525390625,111.4499969482422,188.40367126464844
2026-02-27,1958.06298828125,9.533455848693848,3448.813720703125,26.919878005981445,4.544225692749023,13.243037223815918,1184.07373046875,40.50212478637695,2125.543701171875,22.854013442993164,4.0295000076293945,395.4030151367188,3498.282958984375,,1001.3076782226562,337.16326904296875,1400.45703125,678.3823852539062,13708.158203125,187.43882751464844,3310.293701171875,53.6454963684082,738.7705688476562,111.4499969482422,214.7367706298828
2026-03-31,2137.13671875,10.53661060333252,3683.178466796875,26.919878005981445,4.399197578430176,13.440882682800291,1054.708251953125,39.57220458984375,2157.383056640625,23.18161964416504,4.228487491607666,385.4081115722656,4577.75341796875,,1001.4776611328124,315.0,1368.013916015625,678.3823852539062,13708.158203125,170.81979370117188,3047.658935546875,51.73992919921875,692.5674438476562,111.4499969482422,188.61534118652344
2026-04-30,2256.779052734375,11.513834953308104,3814.67919921875,27.52777099609375,4.476545810699463,14.279150009155272,1011.99853515625,41.52875518798828,1922.55908203125,23.259639739990234,4.974690914154053,384.8999938964844,4430.8251953125,,1001.4776611328124,310.0,1374.3392333984375,828.717529296875,13708.158203125,175.06951904296875,3994.552734375,51.34760665893555,771.8155517578125,111.4499969482422,188.4087371826172
2026-05-29,2231.00927734375,11.892525672912598,4058.0947265625,27.52777099609375,4.611905574798584,14.144989967346191,1134.5413818359375,41.72057342529297,2061.77490234375,23.76676750183105,4.845348834991455,405.0,4253.55859375,45.59000015258789,1001.4776611328124,320.0,1369.05322265625,847.8080444335938,15421.9013671875,185.09185791015625,4466.5,54.32856750488281,850.0,120.0,212.4594573974609
2026-06-30,2336.452392578125,11.735268592834473,4099.53515625,27.52777099609375,4.669917106628418,13.559679985046388,1099.1962890625,43.77159881591797,2250.21728515625,24.709999084472656,4.5,435.1000061035156,4675.8154296875,45.59000015258789,1001.6475830078124,352.0,1425.505126953125,1079.0084228515625,16598.107421875,183.89471435546875,4735.0,54.7928352355957,763.0,126.4000015258789,195.931869506836
2026-07-31,2498.890380859375,11.59766960144043,4149.529296875,28.14999961853028,4.989999771118164,13.871845245361328,1093.0,44.255638122558594,2262.333251953125,24.8799991607666,5.03000020980835,480.010009765625,5424.2998046875,48.16999816894531,1117.489990234375,352.0,1509.4959716796875,1019.2112426757812,16598.107421875,187.94000244140625,4107.9599609375,55.663330078125,850.0,126.4000015258789,206.51071166992188
2026-08-31,2756.139892578125,11.920000076293944,3874.560546875,28.14999961853028,4.909999847412109,14.489999771118164,1273.0,43.7952880859375,2518.124267578125,24.940000534057617,5.300000190734863,492.0,5926.60009765625,48.16999816894531,1117.489990234375,392.0,1509.5557861328125,1118.3499755859375,17537.650390625,188.97000122070312,4450.0,55.73103332519531,930.0,126.1999969482422,232.58999633789065
