Date,ANETD.BA,TGTD.BA,RSP.BA,GLNG.BA,TGT.BA,NVSD.BA,SLBD.BA,SAND.BA,MRKD.BA,RIO.BA,RIOD.BA,RAGH.BA,MFG.BA,FCX.BA,CLD.BA,BHP.BA,BHPD.BA,FCXD.BA,KOD.BA,BBV.BA,TXRD.BA,ROST.BA,JNJD.BA,O.BA,VALE3.BA
2025-09-30,,3.743561744689941,,,5769.84814453125,31.10243797302246,,42.458309173583984,16.53093147277832,12689.5908203125,8.042024612426758,1440.0,10089.9189453125,20099.857421875,,42938.859375,,13.366876602172852,13.36704921722412,28401.525390625,8.34294605255127,58549.68359375,12.587082862854004,,16262.181640625
2025-10-31,,3.7531850337982178,,,5824.84619140625,,11.68619441986084,41.59000015258789,16.96851348876953,13509.5654296875,8.604204177856445,1575.0,10189.9189453125,20939.90234375,24.924848556518555,42818.859375,27.556161880493164,14.368353843688965,13.640045166015623,28897.787109375,8.5327730178833,59699.67578125,12.547717094421388,,17578.365234375
2025-11-28,,3.818824529647827,,,5729.896484375,31.977195739746094,12.58513069152832,,20.420560836791992,13799.5556640625,8.9091157913208,1630.0,10949.912109375,21889.8984375,27.725942611694336,41818.8828125,27.363998413085938,14.766095161437988,14.712530136108398,31752.783203125,9.05679988861084,67149.640625,14.060832023620604,,18767.8046875
2025-12-30,,4.062372207641602,,,6164.888671875,34.13492584228516,,49.7599983215332,21.50481414794922,15399.5048828125,9.900076866149902,1580.0,11289.91015625,26199.876953125,26.831558227539062,46438.765625,30.6403751373291,17.878408432006836,14.154969215393066,34628.80078125,9.640480995178224,69524.71875,14.110342025756836,,19703.7578125
2026-01-30,,4.374112606048584,,,6554.8818359375,,16.341154098510742,51.400001525878906,22.122596740722656,17249.4453125,11.224532127380373,1645.0,12909.896484375,30439.908203125,30.59629821777344,52023.61328125,34.44519805908203,21.39969062805176,14.940265655517578,37232.76171875,10.603556632995604,70074.71875,15.50652313232422,,23691.306640625
2026-02-27,,4.751682758331299,,,6839.92333984375,41.79389953613281,17.66387176513672,,25.005596160888672,18109.41796875,12.158323287963867,1680.0,13169.89453125,33099.8984375,33.18635559082031,59698.41015625,40.834617614746094,22.585792541503903,16.510860443115234,32782.70703125,10.80784511566162,75274.703125,16.9793643951416,,24763.75390625
2026-03-31,,5.115683555603027,,,7394.9169921875,,17.57476043701172,45.27999877929688,24.44526100158692,17179.765625,12.075736045837402,1695.0,11640.0,28879.912109375,,53349.28515625,36.64810180664063,20.21358871459961,15.622599601745604,30858.88671875,9.971234321594238,79549.8046875,16.84002685546875,,24940.0
2026-04-30,,5.519035339355469,10144.326171875,,8069.90966796875,38.02999877929688,19.13916015625,51.5,22.76619338989257,18779.744140625,12.780888557434082,1725.0,12920.0,28719.955078125,29.65603446960449,59349.203125,40.86052703857422,20.275798797607425,16.255014419555664,33040.0,10.92458152770996,85499.7890625,15.9243745803833,,24720.0
2026-05-29,5.710000038146973,5.420136451721191,10313.896484375,7331.4736328125,7844.9619140625,,18.94113540649414,51.900001525878906,24.148956298828125,19759.732421875,13.495834350585938,1750.0,13360.0,32459.94921875,,66074.1171875,45.2786750793457,22.85272216796875,16.23525047302246,34720.0,12.600000381469728,86149.7890625,15.436691284179688,6924.62744140625,24480.0
2026-06-30,6.019999980926514,5.5591139793396,11120.0,7744.7998046875,8479.958984375,40.5,,57.09999847412109,26.35127067565918,18499.748046875,11.977797508239746,,14970.0,32679.94921875,31.684818267822266,64949.12890625,42.2026252746582,21.574249267578125,16.674583435058594,38980.0,11.029999732971191,82799.8984375,17.506858825683594,7424.3388671875,23590.0
2026-07-31,6.449999809265137,6.194441318511963,11340.0,7759.73193359375,9469.9541015625,40.959999084472656,,58.09999847412109,26.928014755249023,19099.740234375,12.408724784851074,1780.0,16380.0,32880.0,31.739999771118164,66624.109375,43.2998161315918,21.8700008392334,18.06661796569824,44040.0,12.68000030517578,98874.8828125,17.795488357543945,7733.07763671875,23870.0
2026-08-31,7.03000020980835,6.929999828338623,11700.0,8190.0,10700.0,,20.688594818115234,60.59999847412109,30.68680000305176,20440.0,13.3100004196167,,17000.0,40200.0,31.26000022888184,75173.9921875,48.10001754760742,26.290000915527344,18.514057159423828,46320.0,14.25,91549.890625,18.6200008392334,7535.0,24060.0
