Date,ISF.IC,BRIM.IC,SVN.IC,SKEL.IC,ISB.IC,HAGA.IC,EIK.IC,ARION.IC,FESTI.IC,HEIMAR.IC,REITIR.IC,OCS.IC,ASAR.IC,JBTM.IC,KVIKA.IC,HAMP.IC,ICESEA.IC,BERA.IC,NOVA.IC
2025-09-30,122.73767852783205,60.8796272277832,85.06975555419922,14.09045696258545,115.56405639648438,104.41665649414062,13.290604591369627,166.9232635498047,295.670654296875,34.39999771118164,112.05030822753906,2110.0,12.791515350341797,16899.603515625,14.985270500183104,121.39344787597656,5.0,17.799999237060547,4.702410697937012
2025-10-31,117.8281707763672,59.41851806640625,83.59455871582031,14.09045696258545,115.0904312133789,108.32008361816406,13.675838470458984,165.98019409179688,309.37725830078125,37.365516662597656,120.74386596679688,2480.0,13.677081108093262,15499.63671875,14.609594345092772,116.41830444335938,4.860000133514404,16.5,4.6048502922058105
2025-11-28,124.70147705078124,72.08148193359375,99.33000183105467,14.09045696258545,124.56289672851562,110.27179718017578,13.483222007751465,168.8094024658203,315.2514953613281,35.685054779052734,120.74386596679688,2420.0,13.77547836303711,17999.578125,13.941726684570312,106.46802520751952,4.820000171661377,17.149999618530273,4.2731451988220215
2025-12-30,132.5566864013672,71.59444427490234,96.37960815429688,15.583486557006836,139.71884155273438,114.17522430419922,13.290604591369627,190.5,317.2095947265625,36.77241516113281,124.607666015625,2570.0,14.365856170654297,19299.64453125,15.360944747924805,101.49288177490234,4.860000133514404,17.799999237060547,4.214609146118164
2026-01-30,145.3214111328125,82.79629516601562,103.26386260986328,15.116914749145508,137.35072326660156,121.9820785522461,13.290604591369627,188.6138610839844,340.70660400390625,36.37701034545898,123.64171600341795,3480.0,15.34981918334961,19099.650390625,15.569652557373049,111.4431610107422,5.050000190734863,17.5,4.409729480743408
2026-02-27,141.393798828125,84.50092315673828,108.91879272460938,16.329999923706055,130.2463836669922,116.12693786621094,13.77214813232422,188.142318725586,332.874267578125,36.17930603027344,124.607666015625,3590.0,13.972270011901855,18699.65625,15.820104598999023,101.49288177490234,5.25,16.700000762939453,4.156072616577148
2026-03-31,137.46620178222656,77.0,98.25,16.299999237060547,135.0,112.2235107421875,13.483222007751465,176.5,320.0,34.20000076293945,109.42831420898438,3305.0,12.800000190734863,15549.798828125,14.483465194702148,87.5,4.840000152587891,16.100000381469727,4.079999923706055
2026-04-30,150.0,82.0,105.0,16.299999237060547,143.60000610351562,117.10279083251952,14.0,191.5,331.0,34.400001525878906,111.89291381835938,3300.0,12.100000381469728,14599.8115234375,13.205512046813965,89.5,4.380000114440918,15.300000190734863,3.869999885559082
2026-05-29,152.0,88.0,112.0,16.350000381469727,146.8000030517578,126.0,14.899999618530272,198.0,326.0,35.20000076293945,119.2867202758789,3650.0,11.800000190734863,16199.888671875,13.844488143920898,87.0,4.5,15.0,3.660000085830689
2026-06-30,155.0,89.5,123.0,16.399999618530273,141.39999389648438,119.0,14.399999618530272,189.5,311.0,33.79999923706055,114.3575210571289,1690.0,11.949999809265137,17999.876953125,13.199999809265137,85.0,4.199999809265137,15.199999809265137,3.7200000286102295
2026-07-31,163.0,89.5,117.0,17.100000381469727,146.0,119.0,14.800000190734863,193.5,310.0,34.29999923706055,112.38583374023438,1370.0,12.75,17399.880859375,13.600000381469728,88.0,4.260000228881836,14.899999618530272,3.839999914169312
2026-08-31,168.0,92.0,122.0,17.100000381469727,142.60000610351562,122.0,14.699999809265137,188.0,304.0,35.20000076293945,113.3716812133789,1470.0,12.199999809265137,14200.0,13.25,90.0,3.9800000190734863,14.800000190734863,3.5199999809265137
