Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
4083,Saianand Commercial Limited,SAICOM.BO,-41.1,0.412,1.971,Yes
4084,AWL Agri Business Limited,AWL.BO,-26.16,0.238,0.832,Yes
4085,Pasura Industries Limited,ABVL.BO,-49.51,0.527,1.469,Yes
4086,Kranti Industries Limited,KRANTI.BO,-39.97,0.396,1.188,Yes
4087,Ambuja Cements Limited,AMBUJACEM.NS,-28.99,0.266,1.329,Yes
4088,Acme Resources Limited,ACME.BO,-27.53,0.25,0.716,Yes
4089,Uravi Defence and Technology Limited,URAVIDEF.BO,-46.36,0.476,1.791,Yes
4090,Centrum Capital Limited,CENTRUM.NS,-31.38,0.291,0.665,No
4091,SKIL Infrastructure Limited,SKIL.NS,-41.57,0.412,0.582,Yes
4092,Saurashtra Cement Limited,SAURASHCEM.BO,-43.96,0.442,2.093,Yes
4093,Arshiya Limited,ARSHIYA.NS,-51.12,0.543,0.987,Yes
4094,Sanofi India Limited,SANOFI.NS,-30.47,0.28,1.362,Yes
4095,Scoobee Day Garments (India) Limited,SCOOBEEDAY.BO,-26.37,0.236,0.728,Yes
4096,KPIT Technologies Limited,KPITTECH.NS,-43.88,0.44,1.599,Yes
4097,June Industries Limited,JUNE.BO,-36.54,0.348,0.636,Yes
4098,Shri Keshav Cements and Infra Limited,SKCIL.BO,-53.44,0.576,2.026,Yes
4099,Sanofi India Limited,SANOFI.BO,-30.46,0.277,1.364,Yes
4100,Handson Global Management (HGM) Limited,HGM.NS,-38.73,0.371,1.188,Yes
4101,Zensar Technologies Limited,ZENSARTECH.NS,-37.23,0.352,0.766,Yes
4102,Equilateral Enterprises Limited,EQUILATERA.BO,-42.04,0.41,0.555,Yes
4103,Bata India Limited,BATAINDIA.NS,-37.56,0.355,1.685,Yes
4104,Laddu Gopal Online Services Limited,LADDU.BO,-59.27,0.665,0.875,Yes
4105,Abram Food Limited,ABRFL.BO,-62.02,0.712,2.086,Yes
4106,Crizac Limited,CRIZAC.BO,-40.49,0.389,1.869,Yes
4107,Jain Irrigation Systems Limited,JISLJALEQS.NS,-44.33,0.437,1.727,Yes
4108,Pan India Corporation Limited,PANINDIAC.BO,-34.6,0.319,0.776,Yes
4109,Eris Lifesciences Limited,ERIS.NS,-18.32,0.153,0.336,Yes
4110,HBG Hotels Limited,HBGHOTELS.BO,-48.83,0.497,2.047,Yes
4111,Pratik Panels Limited,PRATIK.BO,-46.9,0.469,0.811,Yes
4112,Sagar Cements Limited,SAGCEM.NS,-34.91,0.321,1.439,Yes
4113,Eris Lifesciences Limited,ERIS.BO,-18.41,0.153,0.332,Yes
4114,JK Lakshmi Cement Limited,JKLAKSHMI.NS,-36.5,0.338,1.527,Yes
4115,Sujala Trading & Holdings Limited,SUJALA.BO,-67.45,0.811,2.653,Yes
4116,JK Agri Genetics Limited,JKAGRI.BO,-34.2,0.311,1.152,Yes
4117,Asian Star Company Limited,ASTAR.BO,-19.59,0.163,0.031,Yes
4118,Samsrita Labs Limited,SAMSRITA.BO,-38.15,0.355,0.781,Yes
4119,Lemon Tree Hotels Limited,LEMONTREE.NS,-35.52,0.323,1.321,Yes
4120,Future Enterprises Limited,FELDVR.NS,-35.91,0.326,1.003,Yes
4121,Gita Renewable Energy Limited,GITARENEW.BO,-32.97,0.294,0.867,Yes
4122,Lemon Tree Hotels Limited,LEMONTREE.BO,-35.67,0.323,1.318,Yes
4123,PI Industries Limited,PIIND.BO,-31.33,0.276,1.13,Yes
4124,Crizac Limited,CRIZAC.NS,-40.68,0.38,1.819,Yes
4125,Safety Controls & Devices Limited,SCDL.BO,-43.32,0.413,0.813,No
4126,Greencrest Financial Services Limited,GREENCREST.BO,-21.7,0.18,0.259,Yes
4127,Swasth Foodtech India Limited,SWASTH.BO,-44.3,0.423,1.831,Yes
4128,GTPL Hathway Limited,GTPL.BO,-44.62,0.427,1.087,Yes
4129,Rajputana Investment & Finance Limited,RAJPUTANA.BO,-20.45,0.168,0.626,Yes
4130,Rudrabhishek Enterprises Limited,REPL.NS,-53.46,0.548,2.356,Yes
4131,Haryana Financial Corporation,HARAFIN.BO,-24.57,0.206,0.226,Yes
4132,Elin Electronics Limited,ELIN.NS,-48.25,0.473,2.157,Yes
4133,Elin Electronics Limited,ELIN.BO,-48.22,0.472,2.146,Yes
4134,PI Industries Limited,PIIND.NS,-32.07,0.28,1.152,Yes
4135,India Shelter Finance Corporation Limited,INDIASHLTR.BO,-24.75,0.205,0.304,Yes
4136,Aditya Birla Lifestyle Brands Limited,ABLBL.NS,-34.13,0.299,1.383,Yes
4137,Aditya Birla Lifestyle Brands Limited,ABLBL.BO,-34.19,0.3,1.389,Yes
4138,HMA Agro Industries Limited,HMAAGRO.BO,-31.75,0.274,1.323,Yes
4139,Orient Tradelink Limited,ORIENTTR.BO,-70.16,0.836,2.99,Yes
4140,SRU Steels Limited,SRUSTEELS.BO,-63.75,0.707,2.92,Yes
4141,Neopolitan Pizza and Foods Limited,NPFL.BO,-44.45,0.417,1.518,Yes
4142,RDB Infrastructure and Power Limited,RDBIPL.BO,-60.06,0.641,1.015,Yes
4143,Bajaj Electricals Limited,BAJAJELEC.NS,-39.07,0.35,1.215,Yes
4144,Welcure Drugs and Pharmaceuticals Limited,WELCURE.BO,-49.41,0.478,1.89,Yes
4145,Sodhani Academy of Fintech Enablers Limited,SAFE.BO,-46.3,0.436,1.634,Yes
4146,Suvidhaa Infoserve Limited,SUVIDHAA.BO,-45.83,0.429,2.075,Yes
4147,Orchasp Limited,ORCHASP.BO,-48.9,0.468,1.509,Yes
4148,Healthy Life Agritec Limited,HEALTHYLIFE.BO,-62.1,0.664,1.46,Yes
4149,HMA Agro Industries Limited,HMAAGRO.NS,-31.7,0.267,1.235,Yes
4150,Gayatri Highways Limited,GAYAHWS.NS,-48.0,0.453,0.946,Yes
4151,JSL Industries Limited,JSLINDL.BO,-29.4,0.244,0.218,Yes
4152,Orchasp Limited,ORCHASP.NS,-49.25,0.469,1.498,Yes
4153,MOIL Limited,MOIL.NS,-32.03,0.27,0.669,Yes
4154,Bombay Cycle & Motor Agency Limited,BOMBCYC.BO,-22.65,0.18,0.201,Yes
4155,DRC Systems India Limited,DRCSYSTEMS.BO,-32.52,0.274,0.749,Yes
4156,MOIL Limited,MOIL.BO,-31.97,0.269,0.667,Yes
4157,PFL Infotech Limited,PFLINFOTC.BO,-51.1,0.491,0.09,Yes
